year,population,yearly_percent_change,yearly_change,migrants_net,median_age,fertility_rate,density_p_km2,urban_pop_percent,urban_population,countrys_share_of_world_pop,country
2020,1439323776,0.39,5540090,-348399,38.4,1.69,153,60.8,875075919,18.47,China
2019,1433783686,0.43,6135900,-348399,37,1.65,153,59.7,856409297,18.59,China
2018,1427647786,0.47,6625995,-348399,37,1.65,152,58.6,837022095,18.71,China
2017,1421021791,0.49,6972440,-348399,37,1.65,151,57.5,816957613,18.83,China
2016,1414049351,0.51,7201481,-348399,37,1.65,151,56.3,796289491,18.94,China
2015,1406847870,0.55,7607451,-310442,36.7,1.64,150,55.1,775352918,19.06,China
2010,1368810615,0.57,7606847,-435677,35,1.62,146,48.9,669353557,19.68,China
2005,1330776380,0.62,8045123,-393116,32.6,1.61,142,42.2,561983323,20.34,China
2000,1290550765,0.79,9926046,-76600,30,1.62,137,35.7,460377048,21.01,China
1995,1240920535,1.07,12807372,-155996,27.4,1.83,132,30.9,383901711,21.6,China
1990,1176883674,1.82,20258863,-86330,24.9,2.73,125,26.3,310022147,22.09,China
1985,1075589361,1.47,15100025,-40000,23.5,2.52,115,22.8,244946241,22.08,China
1980,1000089235,1.55,14769670,-9401,21.9,3.01,107,19.2,192392094,22.43,China
1975,926240885,2.28,19727898,-221096,20.3,4.85,99,17.3,160244444,22.7,China
1970,827601394,2.7,20676485,-32000,19.3,6.3,88,17.3,143513192,22.36,China
1965,724218968,1.86,12762182,-225145,19.8,6.15,77,18,130684595,21.69,China
1960,660408056,1.53,9633300,-11900,21.3,5.48,70,16.1,106561743,21.76,China
1955,612241554,2,11564456,-51205,22.2,6.11,65,13.8,84639825,22.08,China
2020,1380004385,0.99,13586631,-532687,28.4,2.24,464,35,483098640,17.7,India
2019,1366417754,1.02,13775474,-532687,27.1,2.36,460,34.5,471828295,17.71,India
2018,1352642280,1.04,13965495,-532687,27.1,2.36,455,34.1,460779764,17.73,India
2017,1338676785,1.07,14159536,-532687,27.1,2.36,450,33.6,449963381,17.74,India
2016,1324517249,1.1,14364846,-532687,27.1,2.36,445,33.2,439391699,17.75,India
2015,1310152403,1.2,15174247,-470015,26.8,2.4,441,32.7,429069459,17.75,India
2010,1234281170,1.47,17334249,-531169,25.1,2.8,415,30.8,380744554,17.74,India
2005,1147609927,1.67,18206876,-377797,23.8,3.14,386,29.1,334479406,17.54,India
2000,1056575549,1.85,18530592,-136514,22.7,3.48,355,27.6,291350282,17.2,India
1995,963922588,1.99,18128958,-110590,21.8,3.83,324,26.5,255558824,16.78,India
1990,873277798,2.17,17783558,9030,21.1,4.27,294,25.5,222296728,16.39,India
1985,784360008,2.33,17081433,115942,20.6,4.68,264,24.3,190321782,16.1,India
1980,698952844,2.32,15169989,222247,20.2,4.97,235,23,160941941,15.68,India
1975,623102897,2.33,13582621,421208,19.7,5.41,210,21.3,132533810,15.27,India
1970,555189792,2.15,11213294,-68569,19.3,5.72,187,19.7,109388950,15,India
1965,499123324,2.07,9715129,-17078,19.6,5.89,168,18.7,93493844,14.95,India
1960,450547679,1.91,8133417,-30805,20.2,5.9,152,17.9,80565723,14.85,India
1955,409880595,1.72,6711079,-21140,20.7,5.9,138,17.6,71958495,14.78,India
2020,331002651,0.59,1937734,954806,38.3,1.78,36,82.8,273975139,4.25,United States
2019,329064917,0.6,1968652,954806,37.7,1.85,36,82.5,271365914,4.27,United States
2018,327096265,0.62,2011509,954806,37.7,1.85,36,82.2,268786714,4.29,United States
2017,325084756,0.64,2068761,954806,37.7,1.85,36,81.9,266243516,4.31,United States
2016,323015995,0.67,2137685,954806,37.7,1.85,35,81.7,263743312,4.33,United States
2015,320878310,0.76,2373367,992343,37.6,1.88,35,81.4,261287811,4.35,United States
2010,309011475,0.93,2803593,1085751,36.9,2.06,34,80.7,249297076,4.44,United States
2005,294993511,0.93,2656520,1066979,36.1,2.04,32,80,235892407,4.51,United States
2000,281710909,1.22,3309433,1771991,35.2,2,31,79.1,222927913,4.59,United States
1995,265163745,1.01,2608687,892751,34,2.03,29,77.4,205240402,4.62,United States
1990,252120309,0.95,2324097,673371,32.8,1.91,28,75.4,190156233,4.73,United States
1985,240499825,0.94,2204694,676492,31.4,1.8,26,74.6,179400645,4.94,United States
1980,229476354,0.93,2079021,754176,30,1.77,25,73.8,169422683,5.15,United States
1975,219081251,0.9,1913582,577869,29,2.03,24,73.7,161450209,5.37,United States
1970,209513341,0.96,1955933,311211,28.4,2.54,23,73.6,154262109,5.66,United States
1965,199733676,1.36,2602621,367146,28.6,3.23,22,71.9,143624659,5.98,United States
1960,186720571,1.69,3007047,424979,29.7,3.58,20,70,130757407,6.15,United States
1955,171685336,1.57,2576188,173553,30.3,3.31,19,67.2,115375863,6.19,United States
2020,273523615,1.07,2898047,-98955,29.7,2.32,151,56.4,154188546,3.51,Indonesia
2019,270625568,1.1,2955025,-98955,28.8,2.42,149,55.8,150900390,3.51,Indonesia
2018,267670543,1.14,3019580,-98955,28.8,2.42,148,55.1,147603006,3.51,Indonesia
2017,264650963,1.18,3094582,-98955,28.8,2.42,146,54.5,144294861,3.51,Indonesia
2016,261556381,1.23,3173125,-98955,28.8,2.42,144,53.9,140972925,3.5,Indonesia
2015,258383256,1.33,3309808,-90889,28.5,2.45,143,53.3,137634761,3.5,Indonesia
2010,241834215,1.34,3108949,-266737,27.2,2.5,133,50.1,121052980,3.48,Indonesia
2005,226289470,1.36,2955129,-229931,25.6,2.53,125,46,104155654,3.46,Indonesia
2000,211513823,1.44,2915913,-13534,24.4,2.55,117,42,88851487,3.44,Indonesia
1995,196934260,1.66,3104172,-7082,22.8,2.9,109,36.1,71053577,3.43,Indonesia
1990,181413402,1.92,3286190,52256,21.3,3.4,100,30.6,55491343,3.41,Indonesia
1985,164982451,2.27,3506923,95016,19.9,4.11,91,26.1,43049412,3.39,Indonesia
1980,147447836,2.44,3353422,75749,19.1,4.73,81,22.1,32601807,3.31,Indonesia
1975,130680727,2.63,3177510,101655,18.5,5.3,72,19.3,25252096,3.2,Indonesia
1970,114793178,2.74,2905223,111212,18.6,5.57,63,17.1,19603959,3.1,Indonesia
1965,100267062,2.7,2503199,89993,19.4,5.62,55,15.8,15838170,3,Indonesia
1960,87751068,2.58,2095529,80536,20.2,5.67,48,14.6,12805184,2.89,Indonesia
1955,77273425,2.13,1546022,75743,20.4,5.49,43,13.5,10404671,2.79,Indonesia
2020,220892340,2,4327022,-233379,22.8,3.55,287,35.1,77437729,2.83,Pakistan
2019,216565318,2.04,4337032,-233379,22,3.73,281,34.9,75510639,2.81,Pakistan
2018,212228286,2.08,4322077,-233379,22,3.73,275,34.7,73630430,2.78,Pakistan
2017,207906209,2.1,4274856,-233379,22,3.73,270,34.5,71795700,2.75,Pakistan
2016,203631353,2.11,4204389,-233379,22,3.73,264,34.4,70005271,2.73,Pakistan
2015,199426964,2.14,4000465,-215833,21.8,3.78,259,34.2,68226783,2.7,Pakistan
2010,179424641,2.28,3824127,-67961,20.7,4.17,233,33.3,59691513,2.58,Pakistan
2005,160304008,2.41,3592086,-130036,19.6,4.71,208,32.6,52301807,2.45,Pakistan
2000,142343578,2.83,3713348,94182,18.8,5.37,185,32.1,45687389,2.32,Pakistan
1995,123776839,2.83,3225784,-204677,18.4,5.96,161,31.6,39104110,2.15,Pakistan
1990,107647921,3.15,3091282,27958,18.5,6.3,140,30.6,32923693,2.02,Pakistan
1985,92191510,3.39,2827433,277424,18.6,6.44,120,29.4,27060895,1.89,Pakistan
1980,78054343,3.16,2247493,134441,18.5,6.6,101,28.1,21910455,1.75,Pakistan
1975,66816877,2.82,1734963,-27621,18.6,6.6,87,26.3,17592808,1.64,Pakistan
1970,58142060,2.69,1444817,-41996,19.3,6.6,75,24.8,14416426,1.57,Pakistan
1965,50917975,2.51,1185857,-18654,19.9,6.6,66,23.5,11954323,1.52,Pakistan
1960,44988690,2.13,900132,-3340,20.1,6.6,58,22.1,9926658,1.48,Pakistan
1955,40488030,1.52,589131,-1651,20.1,6.6,53,19.7,7968418,1.46,Pakistan
2020,212559417,0.72,1509890,21200,33.5,1.74,25,87.6,186217070,2.73,Brazil
2019,211049527,0.75,1580204,21200,31.8,1.76,25,87.4,184407548,2.74,Brazil
2018,209469323,0.79,1635500,21200,31.8,1.76,25,87.1,182546459,2.74,Brazil
2017,207833823,0.81,1670770,21200,31.8,1.76,25,86.9,180633872,2.75,Brazil
2016,206163053,0.83,1691284,21200,31.8,1.76,25,86.7,178669587,2.76,Brazil
2015,204471769,0.88,1751627,3185,31.4,1.77,24,86.4,176653700,2.77,Brazil
2010,195713635,1.01,1917306,0,29.2,1.86,23,84.8,165969018,2.81,Brazil
2005,186127103,1.26,2267353,0,27.1,2.13,22,83.2,154831640,2.85,Brazil
2000,174790340,1.53,2554089,0,25.3,2.47,21,81.4,142319507,2.85,Brazil
1995,162019896,1.69,2603335,0,23.9,2.72,19,77.7,125958216,2.82,Brazil
1990,149003223,1.95,2745829,0,22.6,3.14,18,74.1,110404028,2.8,Brazil
1985,135274080,2.31,2916014,0,21.4,3.8,16,70.1,94786793,2.78,Brazil
1980,120694009,2.4,2695561,0,20.3,4.24,14,65.7,79320279,2.71,Brazil
1975,107216205,2.42,2420588,0,19.5,4.63,13,61,65415995,2.63,Brazil
1970,95113265,2.67,2347947,0,18.6,5.34,11,56,53295882,2.57,Brazil
1965,83373530,2.93,2238861,0,18.3,5.97,10,51.1,42615168,2.5,Brazil
1960,72179226,2.91,1929061,0,18.6,6.06,9,46.2,33315588,2.38,Brazil
1955,62533919,2.99,1711838,59635,18.9,6.1,7,41.1,25688833,2.26,Brazil
2020,206139589,2.58,5175990,-60000,18.1,5.42,226,52,107112526,2.64,Nigeria
2019,200963599,2.6,5088916,-60000,17.9,5.67,221,51.2,102805995,2.61,Nigeria
2018,195874683,2.62,5001439,-60000,17.9,5.67,215,50.3,98610801,2.57,Nigeria
2017,190873244,2.64,4913003,-60000,17.9,5.67,210,49.5,94525016,2.53,Nigeria
2016,185960241,2.66,4822793,-60000,17.9,5.67,204,48.7,90546177,2.49,Nigeria
2015,181137448,2.71,4526850,-60000,17.9,5.74,199,47.8,86673094,2.45,Nigeria
2010,158503197,2.68,3927636,-60000,17.9,5.91,174,43.5,68949828,2.28,Nigeria
2005,138865016,2.58,3316233,-34000,18,6.05,152,39.1,54288918,2.12,Nigeria
2000,122283850,2.53,2867103,-19005,17.9,6.17,134,34.9,42627440,1.99,Nigeria
1995,107948335,2.54,2547177,-19154,17.7,6.37,119,32.2,34785545,1.88,Nigeria
1990,95212450,2.64,2329933,-18281,17.4,6.6,105,29.7,28276132,1.79,Nigeria
1985,83562785,2.62,2027830,-135413,17.5,6.76,92,25.7,21434266,1.72,Nigeria
1980,73423633,2.99,2009867,164143,18,6.76,81,22,16139321,1.65,Nigeria
1975,63374298,2.51,1478431,-7705,18.3,6.61,70,19.8,12535584,1.55,Nigeria
1970,55982144,2.23,1170845,-8669,18.7,6.35,61,17.8,9942297,1.51,Nigeria
1965,50127921,2.12,997893,204,19,6.35,55,16.6,8296771,1.5,Nigeria
1960,45138458,1.9,810472,541,19.1,6.35,50,15.4,6955737,1.49,Nigeria
1955,41086100,1.65,645270,674,19.1,6.35,45,12.1,4952844,1.48,Nigeria
2020,164689383,1.01,1643222,-369501,27.6,2.05,1265,39.4,64814953,2.11,Bangladesh
2019,163046161,1.03,1669453,-369501,26.1,2.18,1253,38.6,62865820,2.11,Bangladesh
2018,161376708,1.06,1691284,-369501,26.1,2.18,1240,37.8,60944245,2.11,Bangladesh
2017,159685424,1.08,1708271,-369501,26.1,2.18,1227,37,59046818,2.12,Bangladesh
2016,157977153,1.1,1720877,-369501,26.1,2.18,1214,36.2,57168030,2.12,Bangladesh
2015,156256276,1.15,1736169,-461368,25.7,2.21,1200,35.4,55305132,2.12,Bangladesh
2010,147575430,1.2,1707985,-650956,24,2.48,1134,31.4,46347089,2.12,Bangladesh
2005,139035505,1.72,2275530,-298507,22.5,2.94,1068,27.7,38452976,2.13,Bangladesh
2000,127657854,2.08,2497585,-143980,21,3.43,981,24.3,31040651,2.08,Bangladesh
1995,115169930,2.22,2399595,-162759,19.6,4.06,885,22.4,25751454,2,Bangladesh
1990,103171956,2.6,2481555,-43873,18.6,4.98,793,20.4,21037450,1.94,Bangladesh
1985,90764183,2.65,2224938,-158765,17.8,5.98,697,18,16305971,1.86,Bangladesh
1980,79639491,2.59,1914638,-227469,17.4,6.63,612,15.2,12099053,1.79,Bangladesh
1975,70066301,1.75,1166764,-609057,17.7,6.91,538,10,7013461,1.72,Bangladesh
1970,64232482,3.01,1769474,-32364,17.8,6.92,493,7.7,4938975,1.74,Bangladesh
1965,55385112,2.9,1474322,-28476,18.4,6.8,425,6.3,3467675,1.66,Bangladesh
1960,48013504,2.67,1185441,297,19,6.62,369,5.2,2474987,1.58,Bangladesh
1955,42086301,2.12,838324,-11019,19.3,6.36,323,4.7,1974441,1.52,Bangladesh
2020,145934462,0.04,62206,182456,39.6,1.82,9,73.7,107486269,1.87,Russia
2019,145872256,0.09,138218,182456,38.8,1.72,9,73.6,107327101,1.89,Russia
2018,145734038,0.14,203956,182456,38.8,1.72,9,73.5,107156855,1.91,Russia
2017,145530082,0.18,254699,182456,38.8,1.72,9,73.5,106972626,1.93,Russia
2016,145275383,0.2,290326,182456,38.8,1.72,9,73.5,106770279,1.95,Russia
2015,144985057,0.21,301157,360120,38.6,1.7,9,73.5,106549491,1.96,Russia
2010,143479274,-0.03,-38568,465334,38,1.46,9,73.5,105485979,2.06,Russia
2005,143672116,-0.38,-546557,355620,37.3,1.3,9,73.4,105505958,2.2,Russia
2000,146404903,-0.25,-364513,474931,36.5,1.25,9,73.3,107381741,2.38,Russia
1995,148227466,0.09,139181,498024,35,1.55,9,73.4,108802154,2.58,Russia
1990,147531561,0.63,914855,178051,33.4,2.12,9,73.4,108302585,2.77,Russia
1985,142957284,0.7,980827,220112,32.2,2.04,9,71.9,102829481,2.93,Russia
1980,138053150,0.63,849658,122879,31.4,1.94,8,69.8,96298016,3.1,Russia
1975,133804858,0.56,731241,-59372,30.8,2.03,8,66.4,88869066,3.28,Russia
1970,130148653,0.57,728983,-109944,30.8,2.02,8,62.5,81289925,3.52,Russia
1965,126503736,1.08,1326407,-277569,28.6,2.55,8,58.2,73579688,3.79,Russia
1960,119871700,1.48,1703280,-240591,27.2,2.82,7,53.7,64402146,3.95,Russia
1955,111355300,1.61,1711329,6559,26.1,2.85,7,49,54512824,4.02,Russia
2020,128932753,1.06,1357224,-60000,29.2,2.14,66,83.8,108074410,1.65,Mexico
2019,127575529,1.1,1384741,-60000,28,2.26,66,83.4,106450227,1.65,Mexico
2018,126190788,1.13,1413464,-60000,28,2.26,65,83.1,104811498,1.65,Mexico
2017,124777324,1.17,1443948,-60000,28,2.26,64,82.7,103158751,1.65,Mexico
2016,123333376,1.21,1475118,-60000,28,2.26,63,82.3,101492232,1.65,Mexico
2015,121858258,1.33,1553059,-84495,27.7,2.29,63,81.9,99812701,1.65,Mexico
2010,114092963,1.48,1617552,-112481,26.2,2.4,59,80,91292115,1.64,Mexico
2005,106005203,1.4,1421072,-441223,24.7,2.61,55,78.1,82773323,1.62,Mexico
2000,98899845,1.53,1447312,-459294,22.9,2.85,51,76.9,76007411,1.61,Mexico
1995,91663285,1.78,1544031,-403707,21.3,3.23,47,75.3,68998980,1.6,Mexico
1990,83943132,2.01,1591929,-367107,19.7,3.75,43,72.6,60961783,1.58,Mexico
1985,75983485,2.32,1644423,-254640,18.5,4.37,39,70.2,53340061,1.56,Mexico
1980,67761372,2.6,1630684,-250763,17.4,5.33,35,67.9,46013540,1.52,Mexico
1975,59607953,2.97,1622878,-184076,16.9,6.32,31,64.1,38203008,1.46,Mexico
1970,51493565,3.14,1473942,-123217,16.7,6.75,26,59.6,30708514,1.39,Mexico
1965,44123853,3.16,1270399,-81817,16.8,6.75,23,55.6,24512097,1.32,Mexico
1960,37771859,3.15,1084253,-57497,17.2,6.78,19,51.3,19374402,1.24,Mexico
1955,32350596,2.97,881185,-46382,17.8,6.75,17,47,15220256,1.17,Mexico
